tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#8CRVVJLQU,Enemy 1,14,13,11283945,1,#8CRVVJLQU,#YQQGQYY0G,3,3,100,#YQQGQYY0G,Player13,22,12,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#JYQV28UC,Player9,12,12,11283945,2,#JYQV28UC,#RLVU0JGP,0,0,44,#RLVU0JGP,Enemy 13,9,14,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#QJCPVR0L,Player15,31,12,11283945,3,#QJCPVR0L,#RY9PPPCR,2,2,69,#RY9PPPCR,Enemy 12,16,13,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#8GVGVC0PR,Player11,14,12,11283945,4,#8GVGVC0PR,#908QP2YCJ,2,2,63,#908QP2YCJ,Enemy 10,11,14,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#2Y80R00CL,Player1,1,14,11283945,5,#2Y80R00CL,#GPQR20V8,3,3,100,#GPQR20V8,Enemy 3,1,14,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#9CYVRU2Y,Enemy 2,2,14,11283945,6,#9CYVRU2Y,#PQPG982PR,2,2,62,#PQPG982PR,Player2,2,14,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#GPQR20V8,Enemy 3,1,14,11283945,7,#GPQR20V8,#2Y80R00CL,2,2,50,#2Y80R00CL,Player1,1,14,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#9CQ8J0LC,Enemy 4,17,13,11283945,8,#9CQ8J0LC,#QJCPVR0L,3,3,100,#QJCPVR0L,Player15,31,12,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#C920Q9V,Enemy 5,6,14,11283945,9,#C920Q9V,#LJ0YURC0R,2,2,87,#LJ0YURC0R,Player6,8,13,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#L008CYPU,Enemy 6,13,14,11283945,10,#L008CYPU,#YVLVGQPP,2,2,86,#YVLVGQPP,Player12,15,12,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#9YJ09GPU,Player8,11,13,11283945,11,#9YJ09GPU,#2V8QJLCU8,2,2,55,#2V8QJLCU8,Enemy 14,8,14,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#YVLVGQPP,Player12,15,12,11283945,12,#YVLVGQPP,#L008CYPU,2,2,67,#L008CYPU,Enemy 6,13,14,1,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
#20LVQC0Y,Enemy 7,4,14,11283945,13,#20LVQC0Y,#902LGL89P,2,2,62,#902LGL89P,Player3,4,14,0,#9G02RQVP,Kings Clan III,16,#PJ9LCGG,EnemyClan1,16,08.10.2021 21:26,15,league
